타자 정보,타율,안타,2루타,3루타,홈런,타점,득점,희생번트,희생플라이,볼넷,삼진,장타율,출루율,OPS
로하스,0.237,37,8,0,6,18,25,0,2,32,40,0.404,0.366,0.77
강백호,0.227,29,6,0,6,16,12,0,0,12,26,0.414,0.298,0.712
허경민,0.301,31,2,0,1,8,9,0,1,11,12,0.35,0.371,0.721
안현민,0.37,20,4,1,6,17,10,0,0,4,10,0.815,0.433,1.248
장성우,0.208,27,4,0,4,19,12,1,4,21,34,0.331,0.31,0.641
김민혁,0.329,54,6,1,0,11,21,0,1,6,14,0.378,0.358,0.736
황재균,0.256,34,5,0,1,13,13,0,1,14,30,0.316,0.329,0.645
배정대,0.184,21,5,2,1,12,6,4,2,5,33,0.289,0.234,0.523
김상수,0.206,12,3,0,1,3,7,0,0,14,6,0.302,0.351,0.653
문상철,0.227,22,3,1,1,5,7,0,1,10,24,0.309,0.303,0.602
권동진,0.317,26,3,1,0,7,10,2,1,11,26,0.378,0.394,0.772
