카운트에 따른 타자 타율,0S 0B,1S ,2S,1S 1B,1S 2B,1S 3B,2S 1B,2S 2B,2S 3B,1B,2B,3B
로하스,0.4,0.211,0,0.714,0.6,0,0.172,0.231,0.25,0.25,0.4,0
강백호,0.273,0.222,0.158,0.267,0.286,0.5,0.056,0.167,0.188,0.364,0.6,NaN
허경민,0.2,0.333,0.158,0.3,0.5,0.2,0.375,0.4,0.333,NaN,NaN,NaN
안현민,0.5,0.286,0.333,0.3,1,0.4,0.4,0,0.333,0.667,0.667,NaN
장성우,0.3,0.429,0.125,0.286,0.333,0.25,0.12,0.267,0.118,0.133,0,NaN
김민혁,0.227,0.467,0.143,0.3,0.438,0.286,0.36,0.4,0.182,0.5,0.2,NaN
황재균,0.308,0.3,0.154,0.5,0.417,0,0.214,0.182,0.286,0.5,0,NaN
배정대,0.3,0.558,0,0.333,0.429,0,0.059,0.053,0.2,0.167,1,NaN
김상수,0,0.167,0,0.077,0.5,0,0.2,0.25,0.571,0.6,0,NaN
문상철,0.409,0.25,0.357,0.333,0.125,0.333,0.077,0.167,0.091,0.1,0,NaN
권동진,0.4,0.429,0.182,0.2,0.5,0.5,0.385,0.333,0.286,0.167,NaN,NaN
