타자 정보,타율,안타,2루타,3루타,홈런,타점,득점,희생번트,희생플라이,볼넷,삼진,장타율,출루율,OPS
정수빈,0.271,42,5,0,2,14,28,2,2,23,15,0.342,0.375,0.717
케이브,0.319,45,7,1,3,22,22,0,3,10,31,0.447,0.361,0.808
양의지,0.329,47,9,0,5,29,20,0,2,21,21,0.497,0.417,0.914
김재환,0.255,35,4,1,5,24,19,0,0,17,34,0.409,0.346,0.755
양석환,0.277,44,10,0,5,22,21,0,3,13,45,0.434,0.341,0.775
강승호,0.224,35,10,2,3,16,23,0,1,14,52,0.372,0.303,0.675
오명진,0.253,23,5,2,1,16,13,0,0,9,20,0.385,0.327,0.712
김인태,0.283,17,4,0,1,8,6,0,0,13,14,0.4,0.411,0.811
박준영,0.227,25,8,0,1,10,9,1,1,10,32,0.327,0.306,0.633
김기연,0.305,18,3,0,1,11,7,2,1,6,14,0.407,0.364,0.771
임종성,0.227,5,1,0,0,2,1,0,0,0,4,0.273,0.227,0.5
