카운트에 따른 타자 타율,0S 0B,1S ,2S,1S 1B,1S 2B,1S 3B,2S 1B,2S 2B,2S 3B,1B,2B,3B
정수빈,0.417,0.167,0.214,0.3,0.333,0.857,0.2,0.188,0.214,0.5,0,NaN
케이브,0.533,0.4,0.083,0.385,0.167,1,0.25,0.333,0.167,0.313,0.429,NaN
양의지,0.381,0.583,0.364,0.333,0.333,0.5,0.222,0.24,0.308,0.214,0.667,NaN
김재환,0.45,0.385,0.231,0.333,0.167,0.25,0.083,0.042,0.375,0.571,0.333,NaN
양석환,0.4,0.385,0.25,0.429,0.286,0.333,0.156,0.281,0.278,0.143,0,NaN
강승호,0.2,0.385,0.143,0.429,0.5,0.5,0.077,0.103,0.111,0.583,0,NaN
오명진,0.571,0.167,0.167,0.2,0,NaN,0.077,0.222,0.4,0.273,0,NaN
김인태,0.429,0.6,0,0,0,1,0.25,0.375,0.667,0,1,NaN
박준영,0.25,0.167,0.25,0.429,0.167,0,0.08,0.316,0.375,0,0.5,NaN
김기연,0.571,0.2,0.143,0.4,0.4,1,0,0.333,0.667,0.2,0.5,NaN
임종성,0.25,0,0,NaN,0.5,NaN,0,0.6,0,0,NaN,NaN
